publicid,TotalCount,mmi1,mmi2,mmi3,mmi4,mmi5,mmi6,mmi7,mmi8,mmi9
2019p670434,38,0,0,25,12,1,0,0,0,0
2019p670428,39,0,0,25,13,1,0,0,0,0
2019p670369,1,0,0,1,0,0,0,0,0,0
2019p670252,1,0,0,0,1,0,0,0,0,0
2019p670097,3,0,0,3,0,0,0,0,0,0
2019p670070,4,0,0,3,0,1,0,0,0,0
2019p670067,4,0,0,3,0,1,0,0,0,0
2019p670056,16,0,0,11,4,1,0,0,0,0
2019p669894,3,0,0,3,0,0,0,0,0,0
2019p669732,2,0,0,2,0,0,0,0,0,0
2019p669589,4,0,0,2,1,1,0,0,0,0
2019p669568,1,0,0,0,1,0,0,0,0,0
2019p669531,1,0,0,1,0,0,0,0,0,0
2019p669521,1,0,0,1,0,0,0,0,0,0
2019p669517,1,0,0,1,0,0,0,0,0,0
2019p669465,13,0,0,7,5,1,0,0,0,0
2019p669401,1,0,0,1,0,0,0,0,0,0
2019p669278,1,0,0,1,0,0,0,0,0,0
2019p669272,1,0,0,1,0,0,0,0,0,0
2019p669013,1,0,0,1,0,0,0,0,0,0
2019p668867,2,0,0,2,0,0,0,0,0,0
2019p668841,1,0,0,1,0,0,0,0,0,0
2019p668774,1,0,0,1,0,0,0,0,0,0
2019p668703,1,0,0,1,0,0,0,0,0,0
2019p668645,3,0,0,3,0,0,0,0,0,0
2019p668616,6,0,0,2,4,0,0,0,0,0
2019p668548,1,0,0,1,0,0,0,0,0,0
2019p668492,4,0,0,3,1,0,0,0,0,0
2019p668479,2,0,0,2,0,0,0,0,0,0
2019p668434,2,0,0,2,0,0,0,0,0,0
2019p668425,2,0,0,2,0,0,0,0,0,0
2019p668397,2,0,0,2,0,0,0,0,0,0
2019p668389,2,0,0,2,0,0,0,0,0,0
2019p668388,2,0,0,2,0,0,0,0,0,0
2019p668380,6,0,0,6,0,0,0,0,0,0
2019p668370,5,0,0,5,0,0,0,0,0,0
2019p668323,1,0,0,1,0,0,0,0,0,0
2019p668312,3,0,0,2,0,0,0,0,1,0
2019p668283,1,0,0,1,0,0,0,0,0,0
2019p668158,2,0,0,2,0,0,0,0,0,0
2019p668150,1,0,0,1,0,0,0,0,0,0
2019p668085,1,0,0,1,0,0,0,0,0,0
2019p668055,2,0,0,2,0,0,0,0,0,0
2019p668052,2,0,0,2,0,0,0,0,0,0
2019p668045,2,0,0,2,0,0,0,0,0,0
2019p667985,3,0,0,1,1,0,1,0,0,0
2019p667948,2,0,0,2,0,0,0,0,0,0
2019p667920,3,0,0,2,0,0,0,0,1,0
2019p667916,4,0,0,2,1,0,0,0,1,0
2019p667791,3,0,0,2,0,0,0,0,1,0
2019p667704,2,0,0,1,0,0,1,0,0,0
2019p667641,4,0,0,3,1,0,0,0,0,0
2019p667634,4,0,0,3,1,0,0,0,0,0
2019p667548,5,0,0,4,1,0,0,0,0,0
2019p667523,3,0,0,2,1,0,0,0,0,0
2019p667461,1,0,0,1,0,0,0,0,0,0
2019p667387,1,0,0,1,0,0,0,0,0,0
2019p667327,2,0,0,2,0,0,0,0,0,0
2019p667303,1,0,0,1,0,0,0,0,0,0
2019p667290,1,0,0,1,0,0,0,0,0,0
2019p667167,4,0,0,4,0,0,0,0,0,0
2019p667153,4,0,0,3,0,0,1,0,0,0
2019p667117,2,0,0,1,1,0,0,0,0,0
2019p667080,1,0,0,1,0,0,0,0,0,0
2019p667027,5,0,0,5,0,0,0,0,0,0
2019p666989,7,0,0,6,1,0,0,0,0,0
2019p666976,6,0,0,6,0,0,0,0,0,0
2019p666920,2,0,0,1,0,0,0,1,0,0
2019p666908,2,0,0,1,0,0,0,1,0,0
2019p666900,3,0,0,3,0,0,0,0,0,0
2019p666895,3,0,0,3,0,0,0,0,0,0
2019p666774,2,0,0,2,0,0,0,0,0,0
2019p666726,3,0,0,3,0,0,0,0,0,0
2019p666694,1,0,0,1,0,0,0,0,0,0
2019p666646,5,0,0,3,2,0,0,0,0,0
2019p666601,6,0,0,2,4,0,0,0,0,0
2019p666587,9,0,0,6,3,0,0,0,0,0
